IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_DC_20161108_GEN_PRE_DEM_CLINTON,USA_DC_20161108_GEN_PRE_REP_TRUMP,USA_DC_20161108_GEN_PRE_LIB_JOHNSON,USA_DC_20161108_GEN_PRE_GRE_STEIN,USA_DC_20161108_GEN_PRE_OTH_WRITEIN,USA_DC_20161108_GEN_DEL_DEM_NORTON,USA_DC_20161108_GEN_DEL_LIB_MOULTON,USA_DC_20161108_GEN_DEL_GRE_STRACUZZI,USA_DC_20161108_GEN_DEL_OTH_WRITEIN,USA_DC_20161108_GEN_COU_DEM_WHITE,USA_DC_20161108_GEN_COU_REP_CELNIK,USA_DC_20161108_GEN_COU_LIB_KLOKEL,USA_DC_20161108_GEN_COU_GRE_AIKIN,USA_DC_20161108_GEN_COU_IND_GROSSO,USA_DC_20161108_GEN_COU_IND_CHEEKS,USA_DC_20161108_GEN_COU_OTH_WRITEIN,USA_DC_20161108_GEN_HAL_DEM_GARCIA,USA_DC_20161108_GEN_HAL_OTH_WRITEIN
0,_DC,_Precinct 1,_Precinct 1,3710,195,88,34,87,3393,362,186,32,3005,500,290,373,1135,369,44,3453,83
0,_DC,_Precinct 10,_Precinct 10,1854,224,53,18,81,1707,240,135,26,1377,452,125,179,817,161,19,1575,76
0,_DC,_Precinct 100,_Precinct 100,1514,13,7,10,14,1467,23,27,2,1301,43,39,96,242,124,14,1326,14
0,_DC,_Precinct 101,_Precinct 101,1145,16,2,11,8,1114,19,23,5,1005,25,39,115,264,142,15,1004,14
0,_DC,_Precinct 102,_Precinct 102,1560,22,4,23,8,1518,26,32,8,1350,39,54,170,295,187,16,1344,22
0,_DC,_Precinct 103,_Precinct 103,2282,41,9,23,26,2226,49,41,5,1976,88,63,170,368,240,15,2008,15
0,_DC,_Precinct 104,_Precinct 104,1982,40,8,32,19,1919,38,65,3,1741,73,70,180,377,296,22,1791,25
0,_DC,_Precinct 105,_Precinct 105,1600,18,9,19,19,1556,33,36,6,1404,48,59,123,284,192,12,1435,14
0,_DC,_Precinct 106,_Precinct 106,1856,35,13,26,25,1838,40,41,11,1700,47,66,146,332,254,21,1683,27
0,_DC,_Precinct 107,_Precinct 107,1136,10,8,12,8,1098,25,27,5,978,44,54,101,172,130,5,1004,8
0,_DC,_Precinct 108,_Precinct 108,815,18,4,9,17,800,17,26,9,750,40,15,84,259,110,12,752,23
0,_DC,_Precinct 109,_Precinct 109,730,21,6,23,12,717,24,34,8,692,35,30,66,253,116,13,698,17
0,_DC,_Precinct 11,_Precinct 11,3188,363,126,60,147,2868,497,268,48,2265,839,238,381,1511,197,38,2989,131
0,_DC,_Precinct 110,_Precinct 110,2614,53,14,29,37,2597,51,53,12,2359,94,61,208,585,293,22,2361,48
0,_DC,_Precinct 111,_Precinct 111,1572,31,11,26,12,1530,39,45,8,1368,56,45,142,352,164,14,1408,23
0,_DC,_Precinct 112,_Precinct 112,1407,15,6,18,20,1377,26,31,3,1246,42,47,92,254,145,23,1231,11
0,_DC,_Precinct 113,_Precinct 113,1669,36,8,25,22,1633,27,49,10,1474,57,45,141,426,185,29,1470,30
0,_DC,_Precinct 114,_Precinct 114,1892,34,16,31,27,1843,46,52,8,1651,67,78,182,353,186,24,1722,20
0,_DC,_Precinct 115,_Precinct 115,1493,18,14,20,4,1424,29,29,2,1301,33,50,103,228,111,15,1266,14
0,_DC,_Precinct 116,_Precinct 116,2251,31,9,13,29,2134,55,51,5,1936,87,80,163,349,237,30,1974,21
0,_DC,_Precinct 117,_Precinct 117,1405,29,5,13,10,1313,44,45,8,1233,46,51,131,225,133,34,1235,28
0,_DC,_Precinct 118,_Precinct 118,1698,24,9,20,13,1615,45,44,9,1483,54,64,153,290,219,17,1515,12
0,_DC,_Precinct 119,_Precinct 119,1543,33,6,18,11,1470,51,41,8,1304,59,71,112,273,179,18,1364,18
0,_DC,_Precinct 12,_Precinct 12,512,95,24,3,32,457,112,51,13,343,194,50,49,304,42,5,470,34
0,_DC,_Precinct 120,_Precinct 120,1264,17,9,17,14,1207,23,41,4,1119,41,61,134,252,165,31,1103,19
0,_DC,_Precinct 121,_Precinct 121,2090,23,10,30,19,2016,37,53,6,1851,62,58,153,277,195,15,1805,14
0,_DC,_Precinct 122,_Precinct 122,1120,16,7,22,10,1094,33,22,3,1011,29,34,95,233,136,13,1010,10
0,_DC,_Precinct 123,_Precinct 123,1490,81,19,23,17,1443,78,56,9,1314,108,73,140,299,204,25,1401,27
0,_DC,_Precinct 124,_Precinct 124,1625,33,4,20,24,1596,34,40,6,1457,45,50,168,298,173,15,1477,11
0,_DC,_Precinct 125,_Precinct 125,2759,24,11,15,28,2622,69,49,7,2383,82,70,174,322,219,38,2385,22
0,_DC,_Precinct 126,_Precinct 126,2204,41,20,38,23,2130,67,60,3,1958,72,58,177,309,211,23,1967,18
0,_DC,_Precinct 127,_Precinct 127,3245,170,80,52,76,3041,258,201,27,2717,317,204,441,1277,376,38,2992,92
0,_DC,_Precinct 128,_Precinct 128,2039,98,41,54,68,1921,158,125,17,1723,236,150,239,777,229,15,1893,54
0,_DC,_Precinct 129,_Precinct 129,2081,144,74,23,63,1878,253,105,35,1602,371,186,223,898,170,31,1944,56
0,_DC,_Precinct 13,_Precinct 13,1280,105,35,14,35,1146,159,72,17,916,226,87,107,577,69,14,1050,24
0,_DC,_Precinct 130,_Precinct 130,765,114,33,7,77,697,170,63,26,552,274,73,88,395,57,17,676,75
0,_DC,_Precinct 131,_Precinct 131,2408,222,110,26,164,2203,407,142,59,1883,618,250,243,1055,287,43,2315,139
0,_DC,_Precinct 132,_Precinct 132,1246,14,10,11,8,1223,20,21,1,1120,41,49,115,219,145,16,1128,9
0,_DC,_Precinct 133,_Precinct 133,938,14,4,10,10,913,18,25,3,857,35,25,82,190,106,15,843,8
0,_DC,_Precinct 134,_Precinct 134,1469,25,8,9,7,1393,31,29,0,1228,26,39,95,173,138,14,1260,10
0,_DC,_Precinct 135,_Precinct 135,2302,71,52,36,27,2172,118,131,16,1913,177,102,290,1014,192,24,2133,49
0,_DC,_Precinct 136,_Precinct 136,831,39,17,17,20,750,71,57,7,660,114,48,115,393,64,3,744,23
0,_DC,_Precinct 137,_Precinct 137,950,35,19,21,24,872,77,66,6,797,125,62,93,452,73,8,880,24
0,_DC,_Precinct 138,_Precinct 138,2044,137,49,32,61,1886,174,131,44,1678,305,117,222,1024,152,34,1764,98
0,_DC,_Precinct 139,_Precinct 139,1798,56,17,24,20,1795,51,42,7,1636,75,60,162,655,227,23,1663,24
0,_DC,_Precinct 14,_Precinct 14,2764,210,77,34,75,2486,308,185,20,2171,461,217,288,1210,175,33,2467,76
0,_DC,_Precinct 140,_Precinct 140,1196,20,4,8,18,1154,36,28,2,1040,37,33,120,214,108,13,1051,13
0,_DC,_Precinct 141,_Precinct 141,2361,108,59,20,52,2117,210,130,19,1841,303,168,257,1051,150,22,2098,56
0,_DC,_Precinct 142,_Precinct 142,1365,89,41,17,36,1288,124,80,13,1159,184,96,171,575,173,30,1284,45
0,_DC,_Precinct 143,_Precinct 143,1427,144,55,15,72,1286,239,94,22,1112,359,170,179,524,142,25,1374,52
0,_DC,_Precinct 15,_Precinct 15,2861,154,71,29,69,2518,285,189,29,2114,403,169,250,1243,131,20,2408,61
0,_DC,_Precinct 16,_Precinct 16,3298,150,70,41,83,2969,339,156,39,2552,449,226,299,1510,184,33,2881,80
0,_DC,_Precinct 17,_Precinct 17,4290,234,118,46,113,3876,419,192,41,3305,604,275,356,1677,284,45,3740,79
0,_DC,_Precinct 18,_Precinct 18,3874,98,74,38,87,3612,265,157,28,3176,345,206,330,1421,330,48,3478,104
0,_DC,_Precinct 19,_Precinct 19,3108,61,58,55,51,2889,179,189,27,2607,180,146,398,1351,255,41,2849,78
0,_DC,_Precinct 2,_Precinct 2,758,59,31,13,23,660,105,38,8,581,136,87,93,159,73,9,724,20
0,_DC,_Precinct 20,_Precinct 20,1277,19,10,17,10,1172,52,33,9,1089,58,88,127,308,123,14,1161,19
0,_DC,_Precinct 21,_Precinct 21,903,26,13,15,14,852,44,41,11,754,64,45,94,366,84,31,814,31
0,_DC,_Precinct 22,_Precinct 22,3326,103,77,34,83,2961,282,188,43,2637,397,175,300,1591,196,53,2936,94
0,_DC,_Precinct 23,_Precinct 23,2523,66,42,45,45,2322,167,115,17,2083,219,144,289,1056,175,19,2291,48
0,_DC,_Precinct 24,_Precinct 24,2494,89,56,33,37,2232,210,152,18,2000,243,156,284,1267,135,26,2201,63
0,_DC,_Precinct 25,_Precinct 25,3797,155,85,58,85,3424,331,228,39,2957,421,207,450,1957,182,37,3267,97
0,_DC,_Precinct 26,_Precinct 26,2870,164,71,24,73,2621,249,146,19,2219,429,174,288,1463,150,27,2468,75
0,_DC,_Precinct 27,_Precinct 27,2282,125,52,28,76,2064,199,162,35,1788,343,111,254,1166,125,19,1870,84
0,_DC,_Precinct 28,_Precinct 28,2356,264,51,52,91,2183,238,182,33,1858,469,146,285,1103,157,24,2038,67
0,_DC,_Precinct 29,_Precinct 29,1295,102,46,33,32,1170,146,115,12,1000,250,88,191,632,110,6,1177,42
0,_DC,_Precinct 3,_Precinct 3,1403,219,41,30,51,1328,204,96,23,1048,331,103,159,543,117,16,1289,55
0,_DC,_Precinct 30,_Precinct 30,1227,130,30,14,47,1132,123,98,25,990,241,50,90,760,71,19,1046,51
0,_DC,_Precinct 31,_Precinct 31,2236,209,52,35,70,2120,207,146,31,1805,368,106,206,1307,126,26,1924,71
0,_DC,_Precinct 32,_Precinct 32,2497,183,39,29,61,2302,194,157,41,2001,377,97,218,1362,120,38,2095,73
0,_DC,_Precinct 33,_Precinct 33,2704,176,57,36,62,2458,221,195,32,2150,370,142,275,1547,130,23,2240,94
0,_DC,_Precinct 34,_Precinct 34,3753,204,101,47,96,3447,306,245,35,2960,481,206,399,1772,224,36,3315,90
0,_DC,_Precinct 35,_Precinct 35,3168,73,48,59,51,2886,162,220,21,2563,229,146,394,1672,142,27,2830,61
0,_DC,_Precinct 36,_Precinct 36,3387,108,53,51,41,3144,161,197,13,2802,262,173,447,1298,279,34,3094,56
0,_DC,_Precinct 37,_Precinct 37,2446,56,38,51,36,2225,125,147,14,2084,142,103,280,899,200,36,2198,38
0,_DC,_Precinct 38,_Precinct 38,2132,61,34,31,39,2007,96,128,12,1819,123,85,239,857,175,32,1963,43
0,_DC,_Precinct 39,_Precinct 39,3238,70,47,74,59,2957,153,243,22,2662,220,130,462,1634,200,32,2882,71
0,_DC,_Precinct 4,_Precinct 4,1836,199,46,27,62,1656,253,103,24,1346,433,157,189,658,146,22,1655,54
0,_DC,_Precinct 40,_Precinct 40,3204,100,59,90,54,2988,167,253,15,2704,222,134,529,1851,191,27,2843,70
0,_DC,_Precinct 41,_Precinct 41,2721,79,35,52,45,2480,137,179,15,2247,195,120,370,1140,189,31,2434,48
0,_DC,_Precinct 42,_Precinct 42,1471,28,26,29,23,1374,68,87,5,1223,112,70,186,700,101,19,1354,31
0,_DC,_Precinct 43,_Precinct 43,1356,24,16,30,21,1291,53,65,3,1146,84,56,167,548,122,16,1245,31
0,_DC,_Precinct 44,_Precinct 44,1970,158,23,39,46,1924,97,101,11,1709,151,88,237,671,246,33,1831,34
0,_DC,_Precinct 45,_Precinct 45,1791,35,22,39,25,1698,58,97,13,1463,81,67,198,777,125,20,1604,32
0,_DC,_Precinct 46,_Precinct 46,2129,52,27,43,40,2039,70,110,9,1778,106,71,211,854,176,33,1928,38
0,_DC,_Precinct 47,_Precinct 47,2611,67,16,54,22,2423,107,157,21,2145,127,103,327,1070,168,33,2340,44
0,_DC,_Precinct 48,_Precinct 48,2204,65,25,50,31,2056,93,119,15,1830,126,71,241,949,185,33,1909,53
0,_DC,_Precinct 49,_Precinct 49,719,12,14,10,10,662,28,52,5,598,36,33,102,317,50,11,647,15
0,_DC,_Precinct 5,_Precinct 5,2140,269,91,30,119,1950,361,139,34,1472,677,170,217,815,111,23,1805,75
0,_DC,_Precinct 50,_Precinct 50,1935,182,33,35,48,1818,174,133,29,1591,308,107,195,1126,132,19,1693,75
0,_DC,_Precinct 51,_Precinct 51,3058,309,56,35,107,2869,295,190,59,2371,500,140,189,2156,157,38,2568,114
0,_DC,_Precinct 52,_Precinct 52,1190,81,10,26,28,1105,77,82,20,928,156,38,90,744,60,14,968,36
0,_DC,_Precinct 53,_Precinct 53,984,49,16,22,7,942,41,58,5,867,64,41,115,425,81,19,869,22
0,_DC,_Precinct 54,_Precinct 54,1773,69,14,39,23,1695,61,108,9,1553,112,50,179,669,174,24,1624,31
0,_DC,_Precinct 55,_Precinct 55,1791,43,17,30,30,1719,52,73,14,1530,98,74,173,592,161,32,1601,33
0,_DC,_Precinct 56,_Precinct 56,2285,58,27,47,28,2195,75,99,13,1909,96,83,227,744,214,29,2075,19
0,_DC,_Precinct 57,_Precinct 57,1832,57,16,37,35,1789,52,85,7,1587,78,58,203,653,201,28,1701,21
0,_DC,_Precinct 58,_Precinct 58,1640,33,8,34,11,1577,45,62,13,1460,60,58,160,590,182,24,1502,21
0,_DC,_Precinct 59,_Precinct 59,1878,58,19,37,29,1833,61,92,12,1687,83,70,225,761,217,23,1709,40
0,_DC,_Precinct 6,_Precinct 6,2215,309,85,29,122,2009,362,166,34,1555,711,175,199,855,170,21,1992,76
0,_DC,_Precinct 60,_Precinct 60,1565,57,8,23,12,1450,48,59,6,1298,96,83,123,461,180,17,1339,16
0,_DC,_Precinct 61,_Precinct 61,1242,49,6,24,11,1198,42,50,4,1095,70,69,110,441,136,18,1130,14
0,_DC,_Precinct 62,_Precinct 62,2603,104,21,41,34,2471,103,141,26,2362,139,49,261,1268,227,40,2278,78
0,_DC,_Precinct 63,_Precinct 63,2828,83,23,77,38,2679,92,177,16,2413,130,97,383,1263,246,45,2551,49
0,_DC,_Precinct 64,_Precinct 64,1793,37,13,34,24,1727,47,77,11,1583,67,68,209,659,215,25,1615,37
0,_DC,_Precinct 65,_Precinct 65,2046,40,18,30,24,1968,55,67,11,1761,78,54,207,627,222,14,1806,28
0,_DC,_Precinct 66,_Precinct 66,3319,64,34,57,37,3265,82,92,9,2991,116,103,348,1122,333,34,3085,41
0,_DC,_Precinct 67,_Precinct 67,2150,71,19,30,26,2094,57,78,22,1936,109,60,231,954,286,37,1991,37
0,_DC,_Precinct 68,_Precinct 68,1484,82,32,34,50,1428,87,113,18,1269,157,76,217,750,154,21,1405,47
0,_DC,_Precinct 69,_Precinct 69,1558,42,8,25,17,1507,40,59,10,1395,57,43,166,622,188,22,1419,28
0,_DC,_Precinct 7,_Precinct 7,1227,166,54,22,62,1140,206,91,25,937,333,106,150,541,85,15,1108,67
0,_DC,_Precinct 70,_Precinct 70,1131,20,14,23,24,1068,56,56,11,973,63,53,128,492,141,20,1045,37
0,_DC,_Precinct 71,_Precinct 71,1671,48,24,23,19,1648,64,50,6,1496,82,66,164,624,201,24,1564,35
0,_DC,_Precinct 72,_Precinct 72,2745,60,29,34,44,2630,83,98,25,2307,125,107,250,891,326,46,2496,51
0,_DC,_Precinct 73,_Precinct 73,1462,51,20,23,40,1398,71,84,18,1227,119,60,168,724,144,21,1346,47
0,_DC,_Precinct 74,_Precinct 74,3213,118,49,57,81,3033,201,171,30,2709,262,168,361,1176,325,55,3000,75
0,_DC,_Precinct 75,_Precinct 75,2871,84,61,51,64,2706,177,154,17,2422,212,151,309,1214,247,30,2678,62
0,_DC,_Precinct 76,_Precinct 76,972,43,12,22,18,895,50,65,7,811,73,73,106,240,129,12,918,12
0,_DC,_Precinct 77,_Precinct 77,2035,44,28,35,36,1938,91,79,12,1708,105,88,261,638,197,24,1817,40
0,_DC,_Precinct 78,_Precinct 78,1892,36,13,36,22,1829,57,62,7,1607,72,93,197,472,197,20,1697,29
0,_DC,_Precinct 79,_Precinct 79,1340,32,11,24,12,1275,44,43,8,1109,76,63,121,353,138,16,1164,13
0,_DC,_Precinct 8,_Precinct 8,2384,300,89,23,126,2208,341,186,53,1770,663,162,229,1031,129,42,1980,113
0,_DC,_Precinct 80,_Precinct 80,1016,29,12,16,33,974,48,47,8,878,80,47,108,345,101,20,894,34
0,_DC,_Precinct 81,_Precinct 81,3585,139,56,48,130,3324,270,195,53,2923,379,207,386,1365,284,66,3257,121
0,_DC,_Precinct 82,_Precinct 82,2114,83,55,37,85,1965,176,149,34,1759,258,142,266,1004,172,31,1978,81
0,_DC,_Precinct 83,_Precinct 83,4427,198,124,55,165,4055,423,278,63,3603,667,296,464,1972,390,62,4190,150
0,_DC,_Precinct 84,_Precinct 84,1873,126,54,26,114,1712,236,119,48,1508,361,133,209,1051,137,27,1672,110
0,_DC,_Precinct 85,_Precinct 85,2396,186,87,30,150,2185,334,161,70,1843,494,171,270,1415,145,45,2137,143
0,_DC,_Precinct 86,_Precinct 86,1845,96,50,20,62,1714,160,98,52,1487,251,109,201,942,155,33,1672,101
0,_DC,_Precinct 87,_Precinct 87,2191,94,49,37,76,2049,176,116,42,1760,276,119,227,1002,190,37,1969,87
0,_DC,_Precinct 88,_Precinct 88,1891,113,58,25,88,1722,213,133,38,1469,293,113,186,1056,135,20,1636,82
0,_DC,_Precinct 89,_Precinct 89,2387,259,78,27,178,2148,386,165,76,1839,616,182,201,1404,138,32,2042,166
0,_DC,_Precinct 9,_Precinct 9,1280,260,50,14,83,1229,226,82,33,928,485,99,114,581,108,20,1106,81
0,_DC,_Precinct 90,_Precinct 90,1363,66,43,17,79,1233,159,87,34,1040,250,102,132,733,87,15,1207,79
0,_DC,_Precinct 91,_Precinct 91,3159,134,53,40,113,2912,236,195,50,2553,375,136,289,1428,289,36,2814,107
0,_DC,_Precinct 92,_Precinct 92,998,13,6,9,10,982,15,21,3,883,32,32,68,211,100,10,898,12
0,_DC,_Precinct 93,_Precinct 93,1029,23,7,16,8,1004,21,20,3,915,27,24,85,189,122,14,936,11
0,_DC,_Precinct 94,_Precinct 94,1254,25,11,15,10,1232,24,33,4,1110,42,50,126,245,151,7,1135,8
0,_DC,_Precinct 95,_Precinct 95,1121,16,4,20,8,1101,23,26,4,996,36,36,103,218,168,9,1012,10
0,_DC,_Precinct 96,_Precinct 96,1520,17,5,14,13,1472,32,30,6,1339,44,38,116,225,162,20,1345,20
0,_DC,_Precinct 97,_Precinct 97,888,16,6,9,12,849,19,25,5,769,30,37,77,188,119,14,793,17
0,_DC,_Precinct 98,_Precinct 98,1266,23,10,22,12,1244,20,33,5,1101,33,38,117,220,186,12,1110,17
0,_DC,_Precinct 99,_Precinct 99,971,17,12,20,14,951,32,26,1,858,35,33,104,191,144,10,896,9
