IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_RI_20201103_GEN_PRE_DEM_BIDEN,USA_RI_20201103_GEN_PRE_REP_TRUMP,USA_RI_20201103_GEN_PRE_LIB_JORGENSEN,USA_RI_20201103_GEN_PRE_OTH_FUENTE,USA_RI_20201103_GEN_PRE_OTH_RIVE,USA_RI_20201103_GEN_PRE_OTH_CARROLL,USA_RI_20201103_GEN_PRE_OTH_WRITEIN,USA_RI_20201103_GEN_USS_DEM_REED,USA_RI_20201103_GEN_USS_REP_WATERS,USA_RI_20201103_GEN_USS_OTH_WRITEIN
0,_001,_Barrington 1,_440101,1263,557,17,0,1,4,11,1313,485,4
0,_001,_Barrington 2,_440102,1738,629,25,3,2,0,9,1750,586,0
0,_001,_Barrington 3,_440103,1397,457,22,4,1,4,17,1378,477,2
0,_001,_Barrington 4,_440104,1646,654,20,2,6,4,15,1672,599,3
0,_001,_Barrington 5,_440105,1708,593,29,4,2,2,26,1698,589,4
0,_001,_Bristol 1,_440201,633,561,7,3,2,1,4,711,459,3
0,_001,_Bristol 2,_440202,490,220,12,2,1,3,5,518,180,1
0,_001,_Bristol 3,_440203,1459,852,28,1,2,2,13,1563,711,3
0,_001,_Bristol 4,_440204,932,597,19,2,2,1,9,1021,471,5
0,_001,_Bristol 5,_440205,971,872,18,2,1,2,8,1108,675,2
0,_001,_Bristol 6,_440206,833,632,17,2,3,0,10,980,458,2
0,_001,_Bristol 7,_440207,630,288,10,0,1,1,3,663,241,0
0,_001,_Bristol 8,_440208,727,480,21,4,6,3,7,799,384,1
0,_001,_Bristol 9,_440209,170,95,7,1,1,1,1,180,76,0
0,_001,_Warren 1,_443401,964,535,10,2,3,1,10,1025,424,5
0,_001,_Warren 2,_443402,1103,903,31,3,3,4,14,1219,743,1
0,_001,_Warren 3,_443403,1474,826,33,6,1,6,14,1589,662,4
0,_003,_Coventry 1,_440601,515,613,18,2,2,3,8,603,513,2
0,_003,_Coventry 2,_440602,153,174,7,0,1,0,1,177,150,0
0,_003,_Coventry 3,_440603,857,933,16,5,5,5,4,974,778,2
0,_003,_Coventry 4,_440604,546,594,10,3,0,3,7,654,458,1
0,_003,_Coventry 5,_440605,499,664,20,6,2,3,6,571,580,3
0,_003,_Coventry 6,_440606,261,432,9,2,2,1,3,322,358,1
0,_003,_Coventry 7,_440607,837,855,22,1,2,2,6,935,730,2
0,_003,_Coventry 8,_440608,756,805,24,2,2,3,9,859,681,1
0,_003,_Coventry 9,_440609,549,663,14,2,1,1,3,626,566,1
0,_003,_Coventry 10,_440610,355,368,5,4,0,1,1,417,289,1
0,_003,_Coventry 11,_440611,546,577,6,0,0,2,6,600,499,5
0,_003,_Coventry 12,_440612,580,594,16,4,0,1,8,652,504,0
0,_003,_Coventry 13,_440613,482,515,10,3,1,3,4,525,449,0
0,_003,_Coventry 14,_440614,279,249,2,1,1,1,4,320,200,2
0,_003,_Coventry 15,_440615,599,702,11,2,0,3,3,686,576,3
0,_003,_Coventry 16,_440616,634,796,21,2,1,3,12,749,657,0
0,_003,_Coventry 17,_440617,451,615,16,1,1,0,4,519,523,1
0,_003,_Coventry 18,_440618,254,312,5,0,1,2,0,279,278,0
0,_003,_East Greenwich 1,_440901,292,180,6,1,0,0,2,311,161,0
0,_003,_East Greenwich 2,_440902,1282,814,17,4,1,3,22,1329,765,0
0,_003,_East Greenwich 3,_440903,1154,611,25,0,1,2,18,1188,571,1
0,_003,_East Greenwich 4,_440904,1260,804,30,3,3,1,8,1333,733,1
0,_003,_East Greenwich 5,_440905,1251,818,26,1,3,2,24,1307,765,2
0,_003,_Warwick 1,_443501,1338,742,27,0,2,6,19,1431,656,0
0,_003,_Warwick 2,_443502,1210,795,21,8,5,3,12,1343,650,3
0,_003,_Warwick 3,_443503,616,436,14,3,2,1,8,687,352,1
0,_003,_Warwick 4,_443504,1106,459,22,2,1,4,9,1163,413,1
0,_003,_Warwick 5,_443505,422,342,11,1,1,0,3,473,285,0
0,_003,_Warwick 6,_443506,403,344,8,6,1,1,6,469,274,0
0,_003,_Warwick 7,_443507,219,133,7,1,1,0,1,235,113,0
0,_003,_Warwick 8,_443508,943,708,23,5,5,2,11,1066,569,3
0,_003,_Warwick 9,_443509,217,165,2,1,0,0,3,254,121,1
0,_003,_Warwick 10,_443510,651,499,10,0,1,1,7,727,413,2
0,_003,_Warwick 11,_443511,1062,762,11,1,2,3,14,1157,617,4
0,_003,_Warwick 12,_443512,717,525,13,1,0,3,2,789,431,1
0,_003,_Warwick 13,_443513,923,742,15,4,2,3,7,1071,580,0
0,_003,_Warwick 14,_443514,1238,967,30,2,0,5,18,1358,815,2
0,_003,_Warwick 15,_443515,1162,964,21,7,2,3,11,1328,774,1
0,_003,_Warwick 16,_443516,291,278,3,2,0,0,2,327,223,1
0,_003,_Warwick 17,_443517,333,315,11,4,0,0,1,391,252,0
0,_003,_Warwick 18,_443518,1110,1056,26,5,6,0,18,1280,870,2
0,_003,_Warwick 19,_443519,1135,1013,32,3,2,4,17,1275,846,5
0,_003,_Warwick 20,_443520,913,776,19,3,2,3,11,1048,616,3
0,_003,_Warwick 21,_443521,808,702,25,2,3,3,10,939,563,2
0,_003,_Warwick 22,_443522,662,583,11,7,2,3,5,746,485,2
0,_003,_Warwick 23,_443523,1074,835,27,2,2,1,9,1214,684,7
0,_003,_Warwick 24,_443524,638,568,17,1,2,0,5,704,484,2
0,_003,_Warwick 25,_443525,858,660,29,1,0,4,9,929,578,1
0,_003,_Warwick 26,_443526,347,231,6,0,1,0,2,379,198,1
0,_003,_Warwick 27,_443527,825,587,23,3,3,2,13,884,540,2
0,_003,_Warwick 28,_443528,489,292,10,0,0,0,4,524,260,0
0,_003,_Warwick 29,_443529,775,591,11,2,1,2,7,883,476,0
0,_003,_Warwick 30,_443530,1230,778,18,0,0,5,7,1330,648,4
0,_003,_Warwick 31,_443531,1289,979,20,2,2,4,15,1361,886,2
0,_003,_Warwick 32,_443532,495,363,10,0,2,1,2,538,302,1
0,_003,_Warwick 33,_443533,433,393,12,2,0,1,3,497,324,0
0,_003,_West Greenwich 1,_443701,523,695,16,3,0,1,3,590,611,1
0,_003,_West Greenwich 2,_443702,475,516,9,3,1,0,4,530,441,1
0,_003,_West Greenwich 3,_443703,304,508,5,0,0,1,2,349,444,1
0,_003,_West Greenwich 4,_443704,396,523,11,0,1,1,4,442,462,0
0,_003,_West Warwick 1,_443801,736,674,10,5,1,1,6,849,532,3
0,_003,_West Warwick 2,_443802,502,399,11,1,2,0,4,570,310,1
0,_003,_West Warwick 3,_443803,293,286,4,2,1,1,1,348,221,1
0,_003,_West Warwick 4,_443804,1295,1146,24,5,2,1,19,1470,944,1
0,_003,_West Warwick 5,_443805,497,396,9,4,1,3,2,569,302,2
0,_003,_West Warwick 6,_443806,425,382,8,1,3,0,2,484,315,0
0,_003,_West Warwick 7,_443807,1116,991,28,2,2,5,19,1248,831,5
0,_003,_West Warwick 8,_443808,929,936,18,2,1,2,7,1087,732,0
0,_003,_West Warwick 9,_443809,841,695,21,4,0,0,5,920,578,1
0,_003,_West Warwick 10,_443810,624,591,10,2,2,2,8,730,460,0
0,_005,_JAMESTOWN 1,_441501,1547,651,22,0,5,1,10,1621,564,3
0,_005,_JAMESTOWN 2,_441502,1261,562,22,1,5,2,9,1344,464,3
0,_005,_LITTLE COMPTON 1,_441801,1531,953,28,1,5,8,18,1601,860,3
0,_005,_MIDDLETOWN 1,_441901,971,499,18,0,2,0,3,999,416,0
0,_005,_MIDDLETOWN 2,_441902,1078,566,17,3,2,2,10,1119,470,2
0,_005,_MIDDLETOWN 3,_441903,1034,484,23,3,0,4,1,1059,419,0
0,_005,_MIDDLETOWN 4,_441904,1444,735,36,5,2,6,18,1512,605,3
0,_005,_MIDDLETOWN 5,_441905,1031,602,22,1,3,2,12,1083,495,3
0,_005,_NEWPORT 1,_442101,882,300,6,2,1,2,12,886,274,2
0,_005,_NEWPORT 2,_442102,1454,460,15,4,3,5,11,1467,376,4
0,_005,_NEWPORT 3,_442103,547,159,9,2,0,0,1,549,134,0
0,_005,_NEWPORT 4,_442104,447,107,2,0,0,0,6,449,95,0
0,_005,_NEWPORT 5,_442105,1125,375,20,2,1,1,6,1136,314,2
0,_005,_NEWPORT 6,_442106,1299,485,12,0,0,1,14,1292,435,0
0,_005,_NEWPORT 7,_442107,1190,538,15,3,3,2,8,1245,436,2
0,_005,_NEWPORT 8,_442108,656,177,5,2,1,0,2,633,168,1
0,_005,_NEWPORT 9,_442109,305,61,1,1,1,1,1,295,44,1
0,_005,_PORTSMOUTH 1,_442701,73,43,3,0,0,1,0,75,42,0
0,_005,_PORTSMOUTH 2,_442702,203,118,5,0,1,0,2,201,109,2
0,_005,_PORTSMOUTH 3,_442703,1086,569,27,5,0,2,11,1102,531,3
0,_005,_PORTSMOUTH 4,_442704,1454,874,27,6,4,5,15,1550,751,3
0,_005,_PORTSMOUTH 5,_442705,457,320,10,1,1,2,5,469,288,2
0,_005,_PORTSMOUTH 6,_442706,461,313,9,1,1,1,9,474,298,0
0,_005,_PORTSMOUTH 7,_442707,1395,899,37,7,2,3,7,1498,774,3
0,_005,_PORTSMOUTH 8,_442708,1554,864,31,4,4,1,24,1646,778,0
0,_005,_TIVERTON 1,_443301,1030,774,14,3,1,0,9,1092,640,2
0,_005,_TIVERTON 2,_443302,966,799,17,3,2,3,4,1019,667,3
0,_005,_TIVERTON 3,_443303,591,424,7,3,0,1,4,603,369,4
0,_005,_TIVERTON 4,_443304,747,547,8,0,2,4,4,783,462,0
0,_005,_TIVERTON 5,_443305,173,145,5,0,1,0,1,185,124,0
0,_005,_TIVERTON 6,_443306,884,819,17,6,3,1,6,951,677,0
0,_005,_TIVERTON 7,_443307,758,512,16,2,1,0,4,769,460,0
0,_005,_Voting Districts Not Defined,_ZZZZZZ,0,0,0,0,0,0,0,0,0,0
0,_007,_Burrillville 1,_440301,574,868,21,3,2,3,6,672,732,2
0,_007,_Burrillville 2,_440302,523,834,18,1,2,1,3,567,757,2
0,_007,_Burrillville 3,_440303,807,1100,26,4,3,1,7,885,983,2
0,_007,_Burrillville 4,_440304,465,582,19,1,2,1,4,540,483,3
0,_007,_Burrillville 5,_440305,524,730,27,2,4,1,10,596,665,3
0,_007,_Burrillville 6,_440306,552,793,15,2,2,0,7,626,680,2
0,_007,_Central Falls 1,_440401,606,176,10,3,4,1,5,585,122,1
0,_007,_Central Falls 2,_440402,237,114,0,0,2,0,4,237,66,0
0,_007,_Central Falls 3,_440403,569,219,6,3,4,4,2,555,119,2
0,_007,_Central Falls 4,_440404,524,148,4,1,10,0,1,508,79,3
0,_007,_Central Falls 5,_440405,209,79,0,0,1,0,0,205,43,0
0,_007,_Central Falls 6,_440406,329,173,1,2,3,0,2,337,100,1
0,_007,_Central Falls 7,_440407,138,56,0,0,0,0,0,131,25,1
0,_007,_Central Falls 8,_440408,477,148,4,1,3,3,2,457,104,0
0,_007,_Cranston 1,_440701,976,552,11,4,3,1,4,1031,412,3
0,_007,_Cranston 2,_440702,824,462,7,3,4,3,4,903,322,3
0,_007,_Cranston 3,_440703,542,525,11,3,3,0,3,635,402,0
0,_007,_Cranston 4,_440704,216,120,3,0,1,0,1,236,92,2
0,_007,_Cranston 5,_440705,238,146,1,1,0,0,6,250,125,0
0,_007,_Cranston 6,_440706,822,1142,16,2,4,1,8,1010,920,1
0,_007,_Cranston 7,_440707,838,1022,12,4,2,4,15,1028,812,3
0,_007,_Cranston 8,_440708,1041,975,9,4,1,2,11,1203,768,0
0,_007,_Cranston 9,_440709,1204,1201,22,2,4,7,6,1424,943,1
0,_007,_Cranston 10,_440710,994,538,15,2,4,2,7,1049,464,0
0,_007,_Cranston 11,_440711,825,793,15,3,1,1,6,943,646,3
0,_007,_Cranston 12,_440712,926,898,14,3,0,1,8,1050,736,2
0,_007,_Cranston 13,_440713,884,771,9,3,4,1,14,1000,637,4
0,_007,_Cranston 14,_440714,208,159,1,1,0,0,2,232,129,0
0,_007,_Cranston 15,_440715,649,434,8,3,2,1,6,705,358,2
0,_007,_Cranston 16,_440716,757,736,10,2,1,0,4,906,546,5
0,_007,_Cranston 17,_440717,444,183,3,1,2,1,5,448,159,0
0,_007,_Cranston 18,_440718,434,369,1,0,0,0,5,488,298,0
0,_007,_Cranston 19,_440719,687,697,11,4,1,0,9,814,534,5
0,_007,_Cranston 20,_440720,267,227,1,2,0,0,1,290,195,0
0,_007,_Cranston 21,_440721,1000,556,21,6,5,7,8,1066,462,3
0,_007,_Cranston 22,_440722,523,364,13,3,4,0,1,590,277,1
0,_007,_Cranston 23,_440723,1518,414,14,4,6,5,10,1544,349,1
0,_007,_Cranston 24,_440724,1322,290,8,5,0,3,14,1310,271,2
0,_007,_Cranston 25,_440725,1502,623,20,2,6,2,8,1566,514,2
0,_007,_Cranston 26,_440726,824,410,11,1,2,2,6,894,321,2
0,_007,_Cranston 27,_440727,630,226,5,1,1,0,4,662,191,0
0,_007,_Cranston 28,_440728,7,11,0,0,0,1,1,10,6,0
0,_007,_Cranston 29,_440729,0,0,0,0,0,0,0,0,0,0
0,_007,_Cranston 30,_440730,1084,1529,25,0,4,1,24,1312,1272,2
0,_007,_Cranston 31,_440731,933,947,14,4,3,1,2,1067,752,1
0,_007,_Cumberland 1,_440801,694,516,15,3,1,2,8,756,433,3
0,_007,_Cumberland 2,_440802,923,638,5,4,2,1,11,996,525,0
0,_007,_Cumberland 3,_440803,1004,828,14,6,1,2,12,1072,710,3
0,_007,_Cumberland 4,_440804,291,262,3,1,1,1,2,305,226,0
0,_007,_Cumberland 5,_440805,1048,866,23,4,5,7,10,1145,728,1
0,_007,_Cumberland 6,_440806,1010,693,21,3,0,3,5,1085,569,0
0,_007,_Cumberland 7,_440807,1340,1064,41,8,3,1,15,1388,988,1
0,_007,_Cumberland 8,_440808,1289,995,32,3,1,3,10,1350,874,4
0,_007,_Cumberland 9,_440809,394,359,7,2,1,0,8,426,322,2
0,_007,_Cumberland 10,_440810,820,509,10,1,0,1,6,858,384,6
0,_007,_Cumberland 11,_440811,907,728,15,3,1,5,9,1001,554,3
0,_007,_Cumberland 12,_440812,863,601,13,0,2,1,2,920,486,1
0,_007,_Cumberland 13,_440813,339,367,9,0,0,0,4,386,297,2
0,_007,_East Providence 1,_441001,1193,647,16,6,7,1,11,1285,533,1
0,_007,_East Providence 2,_441002,883,430,7,3,2,2,2,916,340,0
0,_007,_East Providence 3,_441003,554,265,3,1,4,3,3,574,207,1
0,_007,_East Providence 4,_441004,1055,556,13,2,1,3,5,1110,457,4
0,_007,_East Providence 5,_441005,995,380,18,4,2,3,22,1008,347,4
0,_007,_East Providence 6,_441006,68,54,0,0,0,0,1,78,40,0
0,_007,_East Providence 7,_441007,107,69,0,0,0,2,1,111,49,0
0,_007,_East Providence 8,_441008,1205,556,15,4,3,3,8,1255,429,4
0,_007,_East Providence 9,_441009,1190,663,17,4,5,4,8,1297,485,6
0,_007,_East Providence 10,_441010,1336,635,10,2,2,2,8,1427,491,2
0,_007,_East Providence 11,_441011,1163,639,13,7,2,3,15,1228,511,5
0,_007,_East Providence 12,_441012,591,316,14,4,3,6,3,640,266,1
0,_007,_East Providence 13,_441013,954,523,23,5,3,3,10,1009,425,9
0,_007,_East Providence 14,_441014,1053,624,21,4,2,2,8,1132,501,5
0,_007,_East Providence 15,_441015,480,212,5,0,2,0,3,504,167,0
0,_007,_East Providence 16,_441016,574,420,10,2,0,3,9,638,341,0
0,_007,_East Providence 17,_441017,1017,698,15,6,8,3,8,1092,580,4
0,_007,_East Providence 18,_441018,392,245,4,4,3,2,7,426,195,1
0,_007,_Foster 1,_441201,653,853,20,5,2,3,4,724,747,0
0,_007,_Foster 2,_441202,575,729,14,5,0,1,5,610,660,2
0,_007,_Glocester 1,_441301,891,1165,21,6,3,3,16,980,1033,5
0,_007,_Glocester 2,_441302,923,1187,25,2,2,4,15,1020,1066,2
0,_007,_Glocester 3,_441303,193,269,6,0,0,0,1,201,248,1
0,_007,_Glocester 4,_441304,640,732,10,2,1,1,6,718,626,1
0,_007,_Johnston 1,_441601,532,613,4,4,0,2,4,624,482,0
0,_007,_Johnston 2,_441602,567,701,6,1,2,2,10,696,513,2
0,_007,_Johnston 3,_441603,692,660,8,3,3,0,3,808,504,1
0,_007,_Johnston 4,_441604,645,849,4,6,1,0,6,777,664,3
0,_007,_Johnston 5,_441605,565,762,8,0,1,7,1,683,603,2
0,_007,_Johnston 6,_441606,149,156,2,1,0,0,2,186,111,1
